Time (sec),AC Compressor Sw (on/off),AF Correction 1 (%),AF Correction 3 (%),AF Learning 1 (%),AF Learning 3 (%),AF Sens 1 Ratio (AFR),AVCS Exh Left (°),AVCS In Left (°),Accel Position (%),Baro Pressure (psi),Battery Volts (V),Boost (psi),CL Fuel Target (AFR),Calculated Load (g/rev),Comm Fuel Final (AFR),Coolant Temp (C),Dyn Adv Mult (DAM),EGR Commanded (steps),Feedback Knock (°),Fine Knock Learn (°),Fuel Cut (cylinders),Fuel Pressure (psi),Fuel Pressure Target (psi),Gear Position (gear),Ign Comp IAT (°),Ignition Timing (°),Inj Duty Cycle (%),Inj PW (ms),Inj Timing H SOI NEW (°),Intake Temp (C),Intake Temp Manifold (C),MAF Corr (g/s),MAF Freq (kHz),Man Abs Press (psi),Oil Temp (C),RPM (RPM),Req Torque (Nm),Req Torque Bst Targets (Nm),TD Boost Error (psi),TD Integ WG Pos Corr (mm),TD Prop WG Pos Corr (mm),TGV Map Ratio (mult),Target Boost Final Rel (psi),Throttle Pos (%),Vehicle Speed (mph),Wastegate Init Pos Final (mm),Wastegate Pos Actual (mm),Wastegate Pos Comm (mm),Wastegate Pos Comm Final (mm),"AP Info:[AP3-SUB-006 v1.7.5.0-25910][2023 USDM WRX MT][Reflash: Stage1 93 v310.ptm]"
24.576,off,-6.25,-0.78,-1.95,0.00,15.39,3,0,0.0,14.36,14.14,-11.44,14.57,0.19,15.11,91,1.000,0,0.00,0.00,0,479,358,4,0.0,17.50,1.41,0.659,304.5,20,34,8.05,3.530,2.92,96,2560,0.00,2.69,2.28,0.000,0.000,0.000,-9.15,8.5,44,0.000,0.121,0.000,-0.500,0
24.592,off,-6.25,-0.78,-1.95,0.00,15.26,3,0,0.0,14.36,14.30,-11.38,14.57,0.19,15.11,91,1.000,0,0.00,0.00,0,467,358,4,0.0,17.50,1.49,0.698,304.0,20,34,8.05,3.423,2.98,96,2560,0.00,2.69,2.23,0.000,0.000,0.000,-9.15,8.5,44,0.000,0.128,0.000,-0.500,0
24.618,off,-3.91,-0.78,-1.95,0.00,15.15,3,0,0.0,14.36,14.22,-11.38,14.57,0.19,15.11,91,1.000,0,0.00,0.00,0,451,358,4,0.0,17.50,1.49,0.698,304.0,20,34,8.04,3.388,2.98,96,2557,0.00,2.69,2.23,0.000,0.000,0.000,-9.15,8.5,44,0.000,0.128,0.000,-0.500,0
24.644,off,-3.91,-0.78,-1.95,0.00,15.07,3,0,0.0,14.36,14.30,-11.44,14.57,0.19,15.11,91,1.000,0,0.00,0.00,0,436,358,4,0.0,17.50,1.61,0.755,304.0,20,34,8.04,3.389,2.92,96,2554,0.00,2.69,2.28,0.000,0.000,0.000,-9.15,8.5,44,0.000,0.128,0.000,-0.500,0
24.666,off,-4.69,-0.78,-1.95,0.00,15.09,3,0,0.0,14.36,14.22,-11.39,14.57,0.19,14.99,91,1.000,0,0.00,0.00,0,419,358,4,0.0,17.50,1.60,0.755,304.0,20,34,8.03,3.420,2.97,96,2550,0.00,2.69,2.27,0.000,0.000,0.000,-9.15,8.3,44,0.000,0.128,0.000,-0.500,0
24.682,off,-4.69,-0.78,-1.95,0.00,15.02,3,0,0.0,14.36,14.14,-11.41,14.57,0.19,14.99,91,1.000,0,0.00,0.00,0,398,358,4,0.0,17.50,1.68,0.790,304.0,20,34,8.01,3.515,2.94,96,2544,0.00,2.58,2.21,0.000,0.000,0.000,-9.16,8.3,44,0.000,0.128,0.000,-0.500,0
24.700,off,-4.69,-0.78,-1.95,0.00,14.97,3,0,0.0,14.36,14.22,-11.45,14.57,0.19,14.99,91,1.000,0,0.00,0.00,0,387,358,4,0.0,17.50,1.68,0.790,304.0,20,34,8.00,3.462,2.91,96,2544,0.00,2.58,2.29,0.000,0.000,0.000,-9.16,8.3,44,0.000,0.128,0.000,-0.500,0
24.727,off,-4.69,-0.78,-1.95,0.00,15.00,3,0,0.0,14.36,14.22,-11.41,14.57,0.19,14.99,91,1.000,0,0.00,0.00,0,373,358,4,0.0,17.50,1.73,0.816,304.0,20,34,8.00,3.411,2.95,96,2545,0.00,2.69,2.28,0.000,0.000,0.000,-9.15,8.3,44,0.000,0.128,0.000,-0.500,0
24.753,off,-4.69,-0.78,-1.95,0.00,14.92,3,0,0.0,14.36,14.22,-11.41,14.57,0.19,14.99,91,1.000,0,0.00,0.00,0,361,358,4,0.0,17.50,1.73,0.816,304.0,20,34,8.01,3.459,2.95,96,2551,0.00,2.69,2.22,0.000,0.000,0.000,-9.15,8.5,44,0.000,0.128,0.000,-0.500,0
24.774,off,-4.69,-0.78,-1.95,0.00,14.97,3,0,0.0,14.36,14.30,-11.46,14.57,0.19,15.11,91,1.000,0,0.00,0.00,0,337,358,4,0.0,17.50,1.79,0.838,304.0,20,34,8.05,3.342,2.90,96,2559,0.00,2.58,2.31,0.000,0.000,0.000,-9.16,8.5,44,0.000,0.128,0.000,-0.500,0
24.790,off,-5.47,-0.78,-1.95,0.00,14.88,3,0,0.0,14.36,14.22,-11.41,14.57,0.19,15.11,91,1.000,0,0.00,0.00,0,321,358,4,0.0,17.50,1.79,0.838,304.5,20,34,8.05,3.581,2.94,96,2557,0.00,2.58,2.29,0.000,0.000,0.000,-9.16,8.5,44,0.000,0.128,0.000,-0.500,0
24.826,off,-5.47,-0.78,-1.95,0.00,14.83,3,0,0.0,14.36,14.14,-11.47,14.57,0.19,15.11,91,1.000,0,0.00,0.00,0,303,358,4,0.0,17.50,1.84,0.867,304.0,20,34,8.04,3.393,2.89,96,2549,0.00,2.69,2.28,0.000,0.000,0.000,-9.15,8.3,44,0.000,0.128,0.000,-0.500,0
24.847,off,-5.47,-0.78,-1.95,0.00,14.87,3,0,0.0,14.36,14.22,-11.47,14.57,0.19,14.99,91,1.000,0,0.00,0.00,0,287,358,4,0.0,17.50,1.84,0.867,304.0,20,34,8.03,3.406,2.88,96,2543,0.00,2.46,2.31,0.000,0.000,0.000,-9.16,8.3,44,0.000,0.128,0.000,-0.500,0
24.862,off,-5.47,-0.78,-1.95,0.00,14.86,3,0,0.0,14.36,14.22,-11.35,14.57,0.19,14.99,91,1.000,0,0.00,0.00,0,276,358,4,0.0,17.50,1.96,0.925,303.5,20,34,8.01,3.458,3.01,96,2537,0.00,2.46,2.26,0.000,0.000,0.000,-9.16,8.3,44,0.000,0.121,0.000,-0.500,0
24.881,off,-4.69,-0.78,-1.95,0.00,14.90,3,0,0.0,14.36,14.30,-11.37,14.57,0.19,14.99,91,1.000,0,0.00,0.00,0,262,358,4,0.0,17.50,1.95,0.925,303.5,20,34,7.99,3.318,2.99,96,2535,0.00,2.58,2.21,0.000,0.000,0.000,-9.16,8.3,44,0.000,0.128,0.000,-0.500,0
24.901,off,-4.69,-0.78,-1.95,0.00,14.90,3,0,0.0,14.36,14.22,-11.48,14.57,0.19,14.99,91,1.000,0,0.00,0.00,0,250,358,4,0.0,17.50,1.96,0.925,303.5,20,34,8.01,3.457,2.88,96,2540,0.00,2.58,2.32,0.000,0.000,0.000,-9.16,8.3,44,0.000,0.128,0.000,-0.500,0
24.919,off,-4.69,-0.78,-1.95,0.00,14.92,3,0,0.0,14.36,14.22,-11.42,14.57,0.19,14.99,91,1.000,0,0.00,0.00,0,234,358,4,0.0,17.50,2.21,1.043,303.5,20,35,8.01,3.438,2.94,96,2546,0.00,2.69,2.29,0.000,0.000,0.000,-9.15,8.3,44,0.000,0.121,0.000,-0.500,0
24.942,off,-4.69,-0.78,-1.95,0.00,14.95,3,0,0.0,14.36,14.30,-11.40,14.57,0.19,14.99,91,1.000,0,0.00,0.00,1,223,358,4,0.0,17.50,2.22,1.043,304.0,20,35,8.02,3.420,2.96,96,2552,0.00,2.69,2.24,0.000,0.000,0.000,-9.15,8.5,44,0.000,0.128,0.000,-0.500,0
24.960,off,0.00,-0.78,-1.95,0.00,14.94,3,0,0.0,14.36,14.22,-11.49,14.45,0.19,15.24,91,1.000,0,0.00,0.00,1,206,358,4,0.0,17.50,2.40,1.126,304.0,20,35,8.03,3.414,2.87,96,2552,0.00,2.80,2.34,0.000,0.000,0.000,-9.15,8.5,44,0.000,0.128,0.000,-0.500,0
24.981,off,0.00,-0.78,-1.95,0.00,15.01,3,0,0.0,14.36,14.22,-11.45,14.45,0.19,15.24,91,1.000,0,0.00,0.00,1,204,358,4,0.0,17.50,2.39,1.126,304.0,20,35,8.02,3.491,2.91,96,2548,0.00,2.80,2.30,0.000,0.000,0.000,-9.15,8.3,44,0.000,0.121,0.000,-0.500,0
24.999,off,0.00,0.00,-1.95,0.00,15.04,3,0,0.0,14.36,14.22,-11.43,14.45,0.19,15.11,91,1.000,0,0.00,0.00,1,187,358,4,0.0,17.50,2.57,1.213,304.0,20,35,7.98,3.417,2.93,96,2540,0.00,2.69,2.27,0.000,0.000,0.000,-9.15,8.3,44,0.000,0.128,0.000,-0.500,0
25.021,off,0.00,0.00,-1.95,0.00,15.08,3,0,0.0,14.36,14.14,-11.49,14.45,0.19,15.11,91,1.000,0,0.00,0.00,1,184,358,4,0.0,17.50,2.57,1.213,304.0,20,35,7.99,3.404,2.87,96,2539,0.00,2.69,2.33,0.000,0.000,0.000,-9.15,8.3,44,0.000,0.128,0.000,-0.500,0
25.041,off,0.00,0.00,-1.95,0.00,15.11,3,0,0.0,14.36,14.30,-11.44,14.45,0.19,15.11,91,1.000,0,0.00,0.00,1,159,358,4,0.0,17.50,2.78,1.312,303.5,20,35,8.02,3.411,2.92,96,2539,0.00,2.58,2.28,0.000,0.000,0.000,-9.16,8.3,44,0.000,0.128,0.000,-0.500,0
25.065,off,0.00,0.00,-1.95,0.00,15.12,3,0,0.0,14.36,14.22,-11.37,14.45,0.19,15.11,91,1.000,0,0.00,0.00,1,150,358,4,0.0,17.50,2.77,1.312,303.5,20,35,8.01,3.453,2.99,96,2535,0.00,2.58,2.26,0.000,0.000,0.000,-9.16,8.3,44,0.000,0.128,0.000,-0.500,0
25.081,off,0.00,0.00,-1.95,0.00,15.15,3,0,0.0,14.36,14.30,-11.40,14.45,0.19,15.11,91,1.000,0,0.00,0.00,1,147,358,4,0.0,17.50,2.78,1.312,303.5,20,35,8.05,3.344,2.96,96,2544,0.00,2.58,2.24,0.000,0.000,0.000,-9.16,8.3,44,0.000,0.128,0.000,-0.500,0
25.104,off,0.00,0.00,-1.95,0.00,15.22,3,0,0.0,14.36,14.14,-11.43,14.45,0.19,15.11,91,1.000,0,0.00,0.00,1,133,358,4,0.0,17.50,2.97,1.405,303.5,20,35,8.03,3.522,2.93,96,2539,0.00,2.58,2.27,0.000,0.000,0.000,-9.16,8.3,44,0.000,0.128,0.000,-0.500,0
25.135,off,0.00,0.00,-1.95,0.00,15.19,3,0,0.0,14.36,14.22,-11.36,14.45,0.19,15.11,91,1.000,0,0.00,0.00,1,129,358,4,0.0,17.50,2.97,1.405,304.0,20,35,8.04,3.510,3.00,96,2540,0.00,2.69,2.25,0.000,0.000,0.000,-9.15,8.3,44,0.000,0.121,0.000,-0.500,0
25.150,off,0.00,0.00,-1.95,0.00,15.33,3,0,0.0,14.36,14.22,-11.43,14.45,0.19,15.11,91,1.000,0,0.00,0.00,1,126,358,4,0.0,17.50,3.18,1.501,304.0,20,35,8.04,3.419,2.93,96,2543,0.00,2.69,2.28,0.000,0.000,0.000,-9.15,8.3,44,0.000,0.128,0.000,-0.500,0
25.175,off,0.00,0.00,-1.95,0.00,15.34,3,0,0.0,14.36,14.14,-11.46,14.45,0.19,15.11,91,1.000,0,0.00,0.00,1,129,358,4,0.0,17.50,3.18,1.501,304.0,20,35,8.06,3.369,2.90,96,2545,0.00,2.69,2.30,0.000,0.000,0.000,-9.15,8.3,44,0.000,0.128,0.000,-0.500,0
25.190,off,0.00,0.00,-1.95,0.00,15.34,3,0,0.0,14.36,14.22,-11.39,14.45,0.19,15.24,91,1.000,0,0.00,0.00,2,116,358,4,0.0,17.50,3.47,1.638,304.0,20,35,8.03,3.384,2.97,96,2538,0.00,2.69,2.24,0.000,0.000,0.000,-9.15,8.3,44,0.000,0.128,0.000,-0.500,0
25.216,off,0.00,0.00,-1.95,0.00,15.47,3,0,0.0,14.36,14.22,-11.38,14.45,0.19,15.11,91,1.000,0,0.00,0.00,2,112,358,4,0.0,17.50,3.46,1.638,303.5,20,35,8.02,3.408,2.98,96,2532,0.00,2.58,2.22,0.000,0.000,0.000,-9.16,8.3,44,0.000,0.128,0.000,-0.500,0
25.247,off,0.00,0.00,-1.95,0.00,15.55,3,0,0.0,14.36,14.22,-11.42,14.45,0.19,15.11,91,1.000,0,0.00,0.00,2,126,358,4,0.0,17.50,3.46,1.638,303.5,21,35,8.02,3.476,2.94,96,2533,0.00,2.58,2.26,0.000,0.000,0.000,-9.16,8.4,44,0.000,0.128,0.000,-0.500,0
25.272,off,0.00,0.00,-1.95,0.00,15.79,3,0,0.0,14.36,14.22,-11.37,14.45,0.19,15.11,91,1.000,0,0.00,0.00,2,147,358,4,0.0,17.50,3.26,1.549,303.5,20,35,8.00,3.363,2.99,96,2524,0.00,2.58,2.21,0.000,0.000,0.000,-9.16,8.3,44,0.000,0.128,0.000,-0.500,0
25.299,off,0.00,0.00,-1.95,0.00,16.00,3,0,0.0,14.36,14.22,-11.43,14.45,0.19,15.11,91,1.000,0,0.00,0.00,3,150,358,4,0.0,17.50,2.80,1.331,303.5,21,35,8.00,3.455,2.93,96,2526,0.00,2.58,2.27,0.000,0.000,0.000,-9.16,8.4,44,0.000,0.128,0.000,-0.500,0
25.322,off,0.00,0.00,-1.95,0.00,16.18,3,0,0.0,14.36,14.22,-11.37,14.45,0.19,15.11,91,1.000,0,0.00,0.00,3,148,358,4,0.0,17.50,2.80,1.331,303.5,21,35,8.01,3.423,2.99,96,2526,0.00,2.58,2.25,0.000,0.000,0.000,-9.16,8.4,44,0.000,0.121,0.000,-0.500,0
25.340,off,0.00,0.00,-1.95,0.00,16.31,3,0,0.0,14.36,14.22,-11.37,14.45,0.19,15.11,91,1.000,0,0.00,0.00,3,164,358,4,0.0,17.50,2.70,1.277,303.5,21,35,8.06,3.333,2.99,96,2537,0.00,2.46,2.20,0.000,0.000,0.000,-9.16,8.4,44,0.000,0.128,0.000,-0.500,0
25.367,off,0.00,0.00,-1.95,0.00,16.47,3,0,0.0,14.36,14.30,-11.41,14.45,0.19,15.11,91,1.000,0,0.00,0.00,3,185,358,4,0.0,17.50,2.70,1.277,303.5,21,35,8.07,3.398,2.94,96,2534,0.00,2.46,2.25,0.000,0.000,0.000,-9.16,8.4,44,0.000,0.128,0.000,-0.680,0
25.390,off,0.00,0.00,-1.95,0.00,16.87,3,0,0.0,14.36,14.30,-11.25,14.45,0.19,15.11,91,1.000,0,0.00,0.00,4,192,358,4,0.0,23.00,2.62,1.242,303.5,21,35,8.09,3.538,3.11,96,2534,0.00,2.46,2.18,0.000,0.000,0.000,-9.16,8.4,44,0.000,0.128,0.000,-1.040,0
25.416,off,0.00,0.00,-1.95,0.00,17.17,3,0,0.0,14.36,14.22,-11.36,14.45,0.19,15.11,91,1.000,0,0.00,0.00,4,196,358,4,0.0,22.50,2.62,1.242,303.5,21,35,8.09,3.343,3.00,96,2528,0.00,2.69,2.21,0.000,0.000,0.000,-9.15,8.2,44,0.000,0.128,0.000,-1.040,0
25.442,off,0.00,0.00,-1.95,0.00,17.64,3,0,0.0,14.36,14.22,-11.25,14.45,0.19,15.11,91,1.000,0,0.00,0.00,4,197,358,4,0.0,22.50,2.62,1.242,303.5,21,35,8.08,3.409,3.11,96,2528,0.00,2.80,2.16,0.000,0.000,0.000,-9.15,8.2,44,0.000,0.128,0.000,-1.040,0
25.460,off,0.00,0.00,-1.95,0.00,17.74,3,0,0.0,14.36,14.38,-11.32,14.45,0.19,15.11,91,1.000,0,0.00,0.00,4,201,358,4,0.0,22.50,2.61,1.242,303.0,21,35,8.04,3.408,3.04,96,2520,0.00,2.80,2.10,0.000,0.000,0.000,-9.15,8.2,44,0.000,0.128,0.000,-1.040,0
25.485,off,0.00,0.00,-1.95,0.00,18.15,3,0,0.0,14.36,14.30,-11.33,14.45,0.19,15.11,91,1.000,0,0.00,0.00,4,202,358,4,0.0,22.50,2.61,1.242,303.0,21,35,8.03,3.376,3.03,96,2519,0.00,2.69,2.18,0.000,0.000,0.000,-9.15,8.2,44,0.000,0.121,0.000,-1.040,0
25.508,off,0.00,0.00,-1.95,0.00,18.56,3,0,0.0,14.36,14.22,-11.27,14.45,0.19,15.11,91,1.000,0,0.00,0.00,4,202,358,4,0.0,22.50,2.61,1.242,303.5,21,35,8.04,3.498,3.09,96,2519,0.00,2.69,2.15,0.000,0.000,0.000,-9.15,8.2,44,0.000,0.128,0.000,-1.040,0
25.524,off,0.00,0.00,-1.95,0.00,19.10,3,0,0.0,14.36,14.38,-11.24,14.45,0.19,15.11,91,1.000,0,0.00,0.00,4,206,358,4,0.0,22.50,2.61,1.242,303.5,21,35,8.04,3.375,3.12,96,2523,0.00,2.35,2.07,0.000,0.000,0.000,-9.17,8.2,44,0.000,0.128,0.000,-1.040,0
25.555,off,0.00,0.00,-1.95,0.00,19.77,3,0,0.0,14.36,14.38,-11.34,14.45,0.19,15.11,91,1.000,0,0.00,0.00,4,207,358,4,0.0,22.50,2.62,1.242,303.5,21,35,8.08,3.455,3.02,96,2530,0.00,2.35,2.17,0.000,0.000,0.000,-9.17,8.2,44,0.000,0.121,0.000,-1.040,0
25.586,off,0.00,0.00,-1.95,0.00,20.35,3,0,0.0,14.36,14.30,-11.27,14.45,0.19,15.11,91,1.000,0,0.00,0.00,4,207,358,4,0.0,23.00,2.62,1.242,303.5,21,35,8.10,3.374,3.09,96,2531,0.00,2.25,2.10,0.000,0.000,0.000,-9.17,8.2,44,0.000,0.128,0.000,-1.040,0
25.621,off,0.00,0.00,-1.95,0.00,21.77,3,0,0.0,14.36,14.30,-11.29,14.45,0.19,15.11,91,1.000,0,0.00,0.00,4,207,358,4,0.0,22.50,2.61,1.242,303.5,21,35,8.05,3.493,3.07,96,2524,0.00,2.25,2.05,0.000,0.000,0.000,-9.17,8.2,44,0.000,0.128,0.000,-1.040,0
25.658,off,0.00,0.00,-1.95,0.00,21.90,3,0,0.0,14.36,14.30,-11.19,14.45,0.19,15.11,91,1.000,0,0.00,0.00,4,212,358,4,0.0,22.50,2.60,1.242,303.0,21,35,8.03,3.419,3.16,96,2517,0.00,2.25,2.07,0.000,0.000,0.000,-9.17,8.2,44,0.000,0.128,0.000,-1.040,0
25.689,off,0.00,0.00,-1.95,0.00,21.90,3,0,0.0,14.36,14.22,-11.27,14.45,0.19,15.11,91,1.000,0,0.00,0.00,4,212,358,4,0.0,22.50,2.60,1.242,303.0,21,35,8.02,3.521,3.08,96,2513,0.00,2.14,2.10,0.000,0.000,0.000,-9.18,8.2,44,0.000,0.128,0.000,-1.040,0
25.710,off,0.00,0.00,-1.95,0.00,21.90,3,0,0.0,14.36,14.30,-11.20,14.45,0.19,15.11,91,1.000,0,0.00,0.00,4,217,358,4,0.0,22.50,2.61,1.242,303.0,21,36,8.03,3.362,3.16,96,2518,0.00,2.14,2.02,0.000,0.000,0.000,-9.18,8.2,44,0.000,0.128,0.000,-1.040,0
25.721,off,0.00,0.00,-1.95,0.00,21.90,3,0,0.0,14.36,14.30,-11.25,14.45,0.19,15.11,91,1.000,0,0.00,0.00,4,218,358,4,0.0,22.50,2.61,1.242,303.0,21,36,8.04,3.387,3.11,96,2521,0.00,2.25,2.08,0.000,0.000,0.000,-9.17,8.2,43,0.000,0.128,0.000,-1.040,0
25.756,off,0.00,0.00,-1.95,0.00,21.90,3,0,0.0,14.36,14.38,-11.27,14.45,0.19,15.11,91,1.000,0,0.00,0.00,4,218,358,4,0.0,22.50,2.61,1.242,303.5,21,36,8.04,3.355,3.08,96,2520,0.00,2.25,2.10,0.000,0.000,0.000,-9.17,8.2,43,0.000,0.128,0.000,-1.040,0
25.786,off,0.00,0.00,-1.95,0.00,21.90,2,0,0.0,14.36,14.38,-11.12,14.45,0.19,15.11,91,1.000,0,0.00,0.00,4,218,358,4,0.0,22.50,2.60,1.242,303.0,21,36,8.04,3.343,3.24,96,2517,0.00,2.25,1.95,0.000,0.000,0.000,-9.17,8.2,43,0.000,0.128,0.000,-1.040,0
25.809,off,0.00,0.00,-1.95,0.00,21.90,-1,-2,0.0,14.36,14.22,-11.18,14.45,0.19,15.11,91,1.000,0,0.00,0.00,4,219,358,4,0.0,22.50,2.60,1.242,303.0,21,36,8.01,3.398,3.18,96,2509,0.00,2.14,2.00,0.000,0.000,0.000,-9.18,8.2,43,0.000,0.128,0.000,-1.040,0
25.846,off,0.00,0.00,-1.95,0.00,21.90,-1,-3,0.0,14.36,14.30,-11.11,14.45,0.19,15.11,90,1.000,0,0.00,0.00,4,223,358,4,0.0,22.50,2.59,1.242,303.0,21,36,7.99,3.447,3.25,96,2502,0.00,2.14,1.90,0.000,0.000,0.000,-9.18,8.2,43,0.000,0.128,0.000,-1.040,0
25.868,off,0.00,0.00,-1.95,0.00,21.90,-1,-3,0.0,14.36,14.30,-11.14,14.45,0.19,15.11,90,1.000,0,0.00,0.00,4,223,358,4,0.0,22.50,2.59,1.242,303.0,21,36,8.00,3.384,3.22,96,2505,0.00,2.25,1.99,0.000,0.000,0.000,-9.17,8.2,43,0.000,0.128,0.000,-1.040,0
25.883,off,0.00,0.00,-1.95,0.00,21.90,-1,-3,0.0,14.36,14.38,-11.08,14.45,0.19,15.11,90,1.000,0,0.00,0.00,4,223,358,4,0.0,22.50,2.59,1.242,303.0,21,36,8.02,3.371,3.28,96,2504,0.00,2.25,1.91,0.000,0.000,0.000,-9.17,8.2,43,0.000,0.128,0.000,-1.040,0
25.917,off,0.00,0.00,-1.95,0.00,21.90,-1,-3,0.0,14.36,14.30,-11.04,14.45,0.19,15.11,90,1.000,0,0.00,0.00,4,223,358,4,0.0,22.50,2.59,1.242,303.0,21,36,8.03,3.428,3.32,96,2507,0.00,2.25,1.87,0.000,0.000,0.000,-9.17,8.2,43,0.000,0.128,0.000,-1.040,0
25.944,off,0.00,0.00,-1.95,0.00,21.90,-1,-3,0.0,14.36,14.38,-11.07,14.45,0.19,15.11,90,1.000,0,0.00,0.00,4,228,358,4,0.0,22.50,2.59,1.242,303.0,21,36,8.03,3.455,3.29,96,2507,0.00,2.14,1.93,0.000,0.000,0.000,-9.18,8.2,43,0.000,0.128,0.000,-1.040,0
25.968,off,0.00,0.00,-1.95,0.00,21.90,-1,-3,0.0,14.36,14.30,-11.03,14.45,0.19,15.11,90,1.000,0,0.00,0.00,4,228,358,4,0.0,22.50,2.59,1.242,303.0,21,36,8.03,3.349,3.33,96,2508,0.00,2.14,1.83,0.000,0.000,0.000,-9.18,8.2,43,0.000,0.128,0.000,-1.040,0
25.984,off,0.00,0.00,-1.95,0.00,21.90,-1,-3,0.0,14.36,14.30,-11.10,14.45,0.19,15.11,90,1.000,0,0.00,0.00,4,228,358,4,0.0,22.50,2.59,1.242,303.0,21,36,8.02,3.566,3.26,96,2502,0.00,2.05,1.91,0.000,0.000,0.000,-9.18,8.2,43,0.000,0.128,0.000,-1.040,0
26.015,off,0.00,0.00,-1.95,0.00,21.90,-1,-3,0.0,14.36,14.30,-10.96,14.45,0.19,15.11,90,1.000,0,0.00,0.00,4,228,358,4,0.0,22.50,2.58,1.242,303.0,21,36,8.01,3.281,3.40,96,2496,0.00,2.14,1.86,0.000,0.000,0.000,-9.18,8.1,43,0.000,0.128,0.000,-1.040,0
26.038,off,0.00,0.00,-1.95,0.00,21.90,-1,-3,0.0,14.36,14.22,-11.10,14.45,0.19,14.99,90,1.000,0,0.00,0.00,4,228,358,4,0.0,22.50,2.58,1.242,302.5,21,36,7.98,3.525,3.26,96,2496,0.00,2.14,1.92,0.000,0.000,0.000,-9.18,8.1,43,0.000,0.128,0.000,-1.040,0
26.054,off,0.00,0.00,-1.95,0.00,21.90,-1,-3,0.0,14.36,14.30,-11.07,14.45,0.19,14.99,90,1.000,0,0.00,0.00,4,233,358,4,0.0,22.50,2.58,1.242,302.5,21,36,7.98,3.316,3.29,96,2495,0.00,2.14,1.89,0.000,0.000,0.000,-9.18,8.1,43,0.000,0.128,0.000,-1.040,0
26.086,off,0.00,0.00,-1.95,0.00,21.90,-1,-3,0.0,14.36,14.38,-10.98,14.45,0.19,14.99,90,1.000,0,0.00,0.00,4,234,358,4,0.0,22.50,2.58,1.242,302.5,21,36,7.98,3.342,3.38,96,2496,0.00,2.14,1.80,0.000,0.000,0.000,-9.18,8.1,43,0.000,0.128,0.000,-1.040,0
26.116,off,0.00,0.00,-1.95,0.00,21.90,-1,-3,0.0,14.36,14.38,-11.05,14.45,0.19,14.99,90,1.000,0,0.00,0.00,4,234,358,4,0.0,22.50,2.58,1.242,302.5,21,36,7.96,3.360,3.31,96,2496,0.00,2.14,1.89,0.000,0.000,0.000,-9.18,8.1,43,0.000,0.128,0.000,-1.040,0
26.131,off,0.00,0.00,-1.95,0.00,21.90,-1,-3,0.0,14.36,14.30,-10.98,14.45,0.19,14.99,90,1.000,0,0.00,0.00,4,234,358,4,0.0,22.50,2.58,1.242,302.5,21,36,7.94,3.391,3.38,96,2496,0.00,2.25,1.84,0.000,0.000,0.000,-9.17,8.1,43,0.000,0.128,0.000,-1.040,0
26.167,off,0.00,0.00,-1.95,0.00,21.90,-1,-3,0.0,14.36,14.38,-11.08,14.45,0.19,14.99,90,1.000,0,0.00,0.00,4,238,358,4,0.0,22.50,2.57,1.242,302.5,21,36,7.91,3.320,3.28,96,2489,0.00,2.25,1.90,0.000,0.000,0.000,-9.17,8.1,43,0.000,0.128,0.000,-1.040,0
26.189,off,0.00,0.00,-1.95,0.00,21.90,-1,-3,0.0,14.36,14.30,-11.01,14.45,0.19,14.99,90,1.000,0,0.00,0.00,4,239,358,4,0.0,22.50,2.58,1.242,302.5,21,36,7.91,3.609,3.35,96,2490,0.00,2.25,1.87,0.000,0.000,0.000,-9.17,8.1,43,0.000,0.128,0.000,-1.040,0
26.220,off,0.00,0.00,-1.95,0.00,21.90,-1,-3,0.0,14.36,14.38,-11.04,14.45,0.19,14.99,90,1.000,0,0.00,0.00,4,239,358,4,0.0,22.50,2.58,1.242,302.5,21,36,7.92,3.291,3.32,96,2491,0.00,2.25,1.87,0.000,0.000,0.000,-9.17,8.1,43,0.000,0.128,0.000,-1.040,0
26.227,off,0.00,0.00,-1.95,0.00,21.90,-1,-3,0.0,14.36,14.38,-11.08,14.45,0.19,14.99,90,1.000,0,0.00,0.00,4,239,358,4,0.0,22.50,2.58,1.242,302.5,21,36,7.92,3.505,3.28,96,2490,0.00,2.25,1.91,0.000,0.000,0.000,-9.17,8.1,43,0.000,0.128,0.000,-1.040,0
26.258,off,0.00,0.00,-1.95,0.00,21.90,-1,-3,0.0,14.36,14.30,-10.97,14.45,0.19,14.99,90,1.000,0,0.00,0.00,4,239,358,4,0.0,22.50,2.57,1.242,302.5,21,36,7.91,3.386,3.39,96,2488,0.00,2.25,1.84,0.000,0.000,0.000,-9.17,8.1,43,0.000,0.128,0.000,-1.040,0
26.266,off,0.00,0.00,-1.95,0.00,21.90,-1,-3,0.0,14.36,14.30,-11.05,14.45,0.19,14.99,90,1.000,0,0.00,0.00,4,239,358,4,0.0,22.50,2.58,1.242,302.5,21,36,7.93,3.305,3.31,96,2492,0.00,2.25,1.87,0.000,0.000,0.000,-9.17,8.1,43,0.000,0.134,0.000,-1.040,0
26.295,off,0.00,0.00,-1.95,0.00,21.90,-1,-3,0.0,14.36,14.30,-11.06,14.45,0.19,12.46,90,1.000,0,0.00,0.00,4,239,358,4,0.0,22.50,2.58,1.242,302.5,21,36,7.94,3.560,3.30,96,2495,0.00,2.14,1.88,0.000,0.000,0.000,-9.18,8.1,43,0.000,0.128,0.000,-1.040,0
